sub_id	form_lg	age	sex	hispanic	non_hispanic	decline	black	am_indian	asian	hawaiian	white	disorder	disorder_exp	e_native	e_age_learn	age_move_us	native_lg	home_lg	age_english	age_spanish	comfort_spanish	comfort_english	use_predominantly	use_math	accent	use_life	school_spanish	school_english	lost_fluency	lost_fluency_lg	current_country
bds_eng_52	0	20	1	1	0	0	0	0	0	0	0	0	NA	0	5	NA	1	1	5	1	1	6	1	0	NA	0	4	12	0	NA	0
bds_sp_02	1	20	1	1	0	0	0	0	1	0	0	0	NA	1	NA	NA	NA	1	1	1	6	6	0	0	1	0	15	3	1	1	0
bds_sp_04	1	20	1	1	0	0	1	1	1	0	1	0	NA	1	NA	NA	NA	NA	2	0	2	4	0.5	0	NA	1	8	16	0	NA	0
bds_sp_05	1	22	1	1	0	0	0	0	0	0	1	0	NA	0	5	18	1	1	5	1	1	20	1	1	0	1	14	5	0	NA	0
bds_sp_06	1	20	0	1	0	0	0	0	0	0	0	0	NA	0	4	NA	1	0	3	1	3	5	0.5	0	NA	1	2	14	0	NA	0
bds_sp_07	1	18	1	1	0	0	0	0	0	0	1	0	NA	0	3	0	1	0	3	0	4	5	1	0	NA	1	8	13	1	1	0
bds_sp_08	1	18	1	1	0	0	0	0	0	0	0	0	NA	1	NA	NA	NA	0	3	1	10	6	1	0	NA	0	1	15	0	NA	0
bds_sp_09	1	19	1	1	0	0	0	0	0	0	0	0	NA	0	6	0	1	1	6	0	5	9	1	0.5	NA	0	2	13	0	1	0
bds_sp_10	1	19	0	1	0	0	0	0	1	0	1	0	NA	1	NA	NA	NA	NA	0	0	6	6	0.5	0	1	0	4	9	0	NA	0
bds_sp_11	1	21	0	1	0	0	0	1	0	0	0	0	NA	1	6	10	1	1	6	6	10	10	0	0	NA	0	0	4	0	1	0
bds_sp_12	1	24	1	1	0	0	0	0	0	0	1	0	NA	0	3	7	1	1	3	0	0	9	1	0.5	NA	0	12	16	0	NA	0
bds_sp_13	1	18	1	1	0	0	0	1	0	0	0	0	NA	0	5	4	1	1	5	0.5	1	6	1	0	1	1	2	13	0	NA	0
bds_sp_14	1	20	0	1	0	0	0	0	0	0	0	0	NA	0	4	0	1	0	4	0	0	5	0.5	0	NA	0	1	13	1	0	0
bds_sp_15	1	19	1	1	0	0	0	0	0	0	1	0	NA	0	7	NA	1	1	7	2.5	7	10	0.5	0	0.5	0	1	6	1	1	0
bds_sp_16	1	19	1	1	0	0	0	0	0	0	1	0	NA	0	3	0	1	0	3	2	2	3	0.5	0	NA	0	1	15	0	NA	0
bds_sp_17	1	19	0	1	0	0	0	0	0	0	0	0	NA	1	NA	NA	NA	NA	1	1	4	4	0.5	0	0.5	0	4	4	0	NA	0
bds_sp_18	1	22	1	1	0	0	0	0	0	0	1	0	NA	1	NA	NA	NA	NA	5	3	10	5	1	0	1	0	15	22	1	1	0
bds_sp_19	1	18	0	1	0	0	0	0	0	0	0	0	NA	1	NA	NA	NA	NA	4	4	10	8	1	0	0	0	2	12	1	1	0
bds_sp_20	1	21	1	1	0	0	0	0	0	0	1	0	NA	1	NA	NA	NA	NA	1	1	10	4	0	0	NA	1	9	14	1	1	0
bds_sp_21	1	22	0	1	0	0	0	0	0	0	1	0	NA	0	4	0	1	0	4	2	3	4	0	0	1	0	3	14	1	1	0
bds_sp_22	1	18	0	1	0	0	0	0	0	0	0	0	NA	0	6	0	1	0	6	2	4	8	0	0	NA	0	0	13	1	1	0
